Tjedan,"""kako se ubiti"": (Hrvatska)"
05/01/2014,0
12/01/2014,0
19/01/2014,0
26/01/2014,0
02/02/2014,0
09/02/2014,39
16/02/2014,39
23/02/2014,42
02/03/2014,0
09/03/2014,0
16/03/2014,44
23/03/2014,0
30/03/2014,0
06/04/2014,0
13/04/2014,0
20/04/2014,43
27/04/2014,0
04/05/2014,43
11/05/2014,40
18/05/2014,94
25/05/2014,94
01/06/2014,47
08/06/2014,0
15/06/2014,0
22/06/2014,0
29/06/2014,0
06/07/2014,44
13/07/2014,0
20/07/2014,0
27/07/2014,0
03/08/2014,100
10/08/2014,0
17/08/2014,0
24/08/2014,0
31/08/2014,0
07/09/2014,0
14/09/2014,0
21/09/2014,0
28/09/2014,46
05/10/2014,0
12/10/2014,45
19/10/2014,44
26/10/2014,0
02/11/2014,0
09/11/2014,0
16/11/2014,47
23/11/2014,0
30/11/2014,0
07/12/2014,0
14/12/2014,45
21/12/2014,0
28/12/2014,49
04/01/2015,88
11/01/2015,0
18/01/2015,39
25/01/2015,0
01/02/2015,39
08/02/2015,82
15/02/2015,0
22/02/2015,84
01/03/2015,0
08/03/2015,0
15/03/2015,45
22/03/2015,0
29/03/2015,44
05/04/2015,0
12/04/2015,0
19/04/2015,0
26/04/2015,0
03/05/2015,46
10/05/2015,45
17/05/2015,0
24/05/2015,0
31/05/2015,44
07/06/2015,44
14/06/2015,84
21/06/2015,0
28/06/2015,0
05/07/2015,0
12/07/2015,0
19/07/2015,0
26/07/2015,42
02/08/2015,0
09/08/2015,42
16/08/2015,0
23/08/2015,0
30/08/2015,40
06/09/2015,43
13/09/2015,0
20/09/2015,0
27/09/2015,0
04/10/2015,0
11/10/2015,0
18/10/2015,0
25/10/2015,0
01/11/2015,0
08/11/2015,0
15/11/2015,80
22/11/2015,40
29/11/2015,41
06/12/2015,0
13/12/2015,0
20/12/2015,0
27/12/2015,45
03/01/2016,44
10/01/2016,42
17/01/2016,0
24/01/2016,43
31/01/2016,0
07/02/2016,84
14/02/2016,0
21/02/2016,0
28/02/2016,0
06/03/2016,0
13/03/2016,0
20/03/2016,44
27/03/2016,0
03/04/2016,0
10/04/2016,46
17/04/2016,0
24/04/2016,0
01/05/2016,0
08/05/2016,43
15/05/2016,0
22/05/2016,48
29/05/2016,44
05/06/2016,45
12/06/2016,0
19/06/2016,0
26/06/2016,0
03/07/2016,45
10/07/2016,44
17/07/2016,46
24/07/2016,0
31/07/2016,0
07/08/2016,47
14/08/2016,0
21/08/2016,0
28/08/2016,45
04/09/2016,0
11/09/2016,45
18/09/2016,0
25/09/2016,50
02/10/2016,0
09/10/2016,0
16/10/2016,48
23/10/2016,0
30/10/2016,0
06/11/2016,46
13/11/2016,95
20/11/2016,0
27/11/2016,0
04/12/2016,0
11/12/2016,0
18/12/2016,52
25/12/2016,0
01/01/2017,0
08/01/2017,45
15/01/2017,44
22/01/2017,44
29/01/2017,0
05/02/2017,0
12/02/2017,0
19/02/2017,43
26/02/2017,0
05/03/2017,41
12/03/2017,0
19/03/2017,0
26/03/2017,0
02/04/2017,89
09/04/2017,0
16/04/2017,0
23/04/2017,86
30/04/2017,46
07/05/2017,43
14/05/2017,48
21/05/2017,47
28/05/2017,0
04/06/2017,45
11/06/2017,48
18/06/2017,0
25/06/2017,0
02/07/2017,0
09/07/2017,0
16/07/2017,0
23/07/2017,0
30/07/2017,0
06/08/2017,0
13/08/2017,0
20/08/2017,41
27/08/2017,0
03/09/2017,41
10/09/2017,40
17/09/2017,0
24/09/2017,89
01/10/2017,0
08/10/2017,0
15/10/2017,0
22/10/2017,45
29/10/2017,0
05/11/2017,0
12/11/2017,41
19/11/2017,0
26/11/2017,42
03/12/2017,0
10/12/2017,64
17/12/2017,0
24/12/2017,0
31/12/2017,46
07/01/2018,0
14/01/2018,40
21/01/2018,0
28/01/2018,40
04/02/2018,0
11/02/2018,0
18/02/2018,39
25/02/2018,38
04/03/2018,41
11/03/2018,39
18/03/2018,39
25/03/2018,42
01/04/2018,46
08/04/2018,44
15/04/2018,0
22/04/2018,0
29/04/2018,42
06/05/2018,0
13/05/2018,0
20/05/2018,41
27/05/2018,65
03/06/2018,0
10/06/2018,39
17/06/2018,0
24/06/2018,37
01/07/2018,36
08/07/2018,34
15/07/2018,0
22/07/2018,36
29/07/2018,35
05/08/2018,35
12/08/2018,35
19/08/2018,0
26/08/2018,0
02/09/2018,0
09/09/2018,38
16/09/2018,40
23/09/2018,42
30/09/2018,0
07/10/2018,0
14/10/2018,0
21/10/2018,0
28/10/2018,43
04/11/2018,0
11/11/2018,42
18/11/2018,61
25/11/2018,0
02/12/2018,0
09/12/2018,0
16/12/2018,43
23/12/2018,0
30/12/2018,0
