Tjedan,"""samoubojstvo"": (Hrvatska)"
05/01/2014,23
12/01/2014,26
19/01/2014,19
26/01/2014,15
02/02/2014,3
09/02/2014,9
16/02/2014,22
23/02/2014,13
02/03/2014,0
09/03/2014,14
16/03/2014,14
23/03/2014,20
30/03/2014,24
06/04/2014,17
13/04/2014,17
20/04/2014,13
27/04/2014,10
04/05/2014,31
11/05/2014,10
18/05/2014,40
25/05/2014,4
01/06/2014,23
08/06/2014,15
15/06/2014,19
22/06/2014,12
29/06/2014,30
06/07/2014,39
13/07/2014,22
20/07/2014,7
27/07/2014,7
03/08/2014,12
10/08/2014,12
17/08/2014,21
24/08/2014,14
31/08/2014,16
07/09/2014,21
14/09/2014,22
21/09/2014,25
28/09/2014,22
05/10/2014,11
12/10/2014,25
19/10/2014,36
26/10/2014,11
02/11/2014,35
09/11/2014,0
16/11/2014,7
23/11/2014,14
30/11/2014,17
07/12/2014,18
14/12/2014,11
21/12/2014,8
28/12/2014,34
04/01/2015,38
11/01/2015,33
18/01/2015,31
25/01/2015,13
01/02/2015,25
08/02/2015,7
15/02/2015,21
22/02/2015,13
01/03/2015,26
08/03/2015,10
15/03/2015,21
22/03/2015,36
29/03/2015,14
05/04/2015,25
12/04/2015,17
19/04/2015,18
26/04/2015,22
03/05/2015,32
10/05/2015,17
17/05/2015,44
24/05/2015,24
31/05/2015,25
07/06/2015,25
14/06/2015,17
21/06/2015,25
28/06/2015,7
05/07/2015,20
12/07/2015,7
19/07/2015,17
26/07/2015,23
02/08/2015,10
09/08/2015,13
16/08/2015,12
23/08/2015,6
30/08/2015,16
06/09/2015,17
13/09/2015,26
20/09/2015,19
27/09/2015,29
04/10/2015,10
11/10/2015,38
18/10/2015,13
25/10/2015,20
01/11/2015,17
08/11/2015,20
15/11/2015,29
22/11/2015,19
29/11/2015,13
06/12/2015,6
13/12/2015,17
20/12/2015,25
27/12/2015,14
03/01/2016,25
10/01/2016,34
17/01/2016,38
24/01/2016,21
31/01/2016,17
07/02/2016,17
14/02/2016,7
21/02/2016,17
28/02/2016,23
06/03/2016,14
13/03/2016,18
20/03/2016,25
27/03/2016,34
03/04/2016,29
10/04/2016,26
17/04/2016,22
24/04/2016,11
01/05/2016,21
08/05/2016,14
15/05/2016,7
22/05/2016,8
29/05/2016,22
05/06/2016,18
12/06/2016,11
19/06/2016,18
26/06/2016,4
03/07/2016,33
10/07/2016,7
17/07/2016,29
24/07/2016,26
31/07/2016,7
07/08/2016,11
14/08/2016,19
21/08/2016,11
28/08/2016,18
04/09/2016,11
11/09/2016,41
18/09/2016,31
25/09/2016,28
02/10/2016,19
09/10/2016,12
16/10/2016,19
23/10/2016,8
30/10/2016,36
06/11/2016,15
13/11/2016,27
20/11/2016,11
27/11/2016,30
04/12/2016,22
11/12/2016,34
18/12/2016,36
25/12/2016,20
01/01/2017,19
08/01/2017,14
15/01/2017,3
22/01/2017,10
29/01/2017,20
05/02/2017,17
12/02/2017,7
19/02/2017,7
26/02/2017,21
05/03/2017,17
12/03/2017,11
19/03/2017,22
26/03/2017,11
02/04/2017,22
09/04/2017,19
16/04/2017,7
23/04/2017,28
30/04/2017,15
07/05/2017,14
14/05/2017,20
21/05/2017,31
28/05/2017,15
04/06/2017,21
11/06/2017,37
18/06/2017,18
25/06/2017,21
02/07/2017,28
09/07/2017,17
16/07/2017,21
23/07/2017,30
30/07/2017,30
06/08/2017,13
13/08/2017,17
20/08/2017,42
27/08/2017,6
03/09/2017,26
10/09/2017,13
17/09/2017,44
24/09/2017,21
01/10/2017,21
08/10/2017,40
15/10/2017,25
22/10/2017,3
29/10/2017,36
05/11/2017,17
12/11/2017,10
19/11/2017,10
26/11/2017,51
03/12/2017,18
10/12/2017,47
17/12/2017,22
24/12/2017,35
31/12/2017,50
07/01/2018,24
14/01/2018,19
21/01/2018,7
28/01/2018,16
04/02/2018,3
11/02/2018,20
18/02/2018,25
25/02/2018,34
04/03/2018,100
11/03/2018,13
18/03/2018,22
25/03/2018,24
01/04/2018,18
08/04/2018,35
15/04/2018,32
22/04/2018,17
29/04/2018,27
06/05/2018,13
13/05/2018,23
20/05/2018,19
27/05/2018,17
03/06/2018,10
10/06/2018,39
17/06/2018,19
24/06/2018,24
01/07/2018,14
08/07/2018,14
15/07/2018,17
22/07/2018,28
29/07/2018,25
05/08/2018,17
12/08/2018,19
19/08/2018,11
26/08/2018,3
02/09/2018,29
09/09/2018,19
16/09/2018,85
23/09/2018,13
30/09/2018,13
07/10/2018,13
14/10/2018,30
21/10/2018,17
28/10/2018,20
04/11/2018,19
11/11/2018,37
18/11/2018,29
25/11/2018,29
02/12/2018,23
09/12/2018,13
16/12/2018,13
23/12/2018,8
30/12/2018,10
