Tjedan,samoubojstvo: (Hrvatska)
05/01/2014,27
12/01/2014,47
19/01/2014,15
26/01/2014,20
02/02/2014,22
09/02/2014,31
16/02/2014,21
23/02/2014,11
02/03/2014,32
09/03/2014,22
16/03/2014,28
23/03/2014,5
30/03/2014,39
06/04/2014,39
13/04/2014,27
20/04/2014,28
27/04/2014,23
04/05/2014,34
11/05/2014,32
18/05/2014,30
25/05/2014,18
01/06/2014,31
08/06/2014,19
15/06/2014,25
22/06/2014,25
29/06/2014,18
06/07/2014,64
13/07/2014,42
20/07/2014,31
27/07/2014,30
03/08/2014,13
10/08/2014,13
17/08/2014,12
24/08/2014,36
31/08/2014,54
07/09/2014,40
14/09/2014,70
21/09/2014,42
28/09/2014,24
05/10/2014,38
12/10/2014,18
19/10/2014,41
26/10/2014,91
02/11/2014,57
09/11/2014,47
16/11/2014,30
23/11/2014,58
30/11/2014,29
07/12/2014,29
14/12/2014,36
21/12/2014,33
28/12/2014,19
04/01/2015,40
11/01/2015,16
18/01/2015,47
25/01/2015,43
01/02/2015,21
08/02/2015,11
15/02/2015,56
22/02/2015,38
01/03/2015,16
08/03/2015,6
15/03/2015,11
22/03/2015,71
29/03/2015,41
05/04/2015,94
12/04/2015,57
19/04/2015,24
26/04/2015,12
03/05/2015,65
10/05/2015,34
17/05/2015,100
24/05/2015,39
31/05/2015,47
07/06/2015,6
14/06/2015,50
21/06/2015,30
28/06/2015,17
05/07/2015,43
12/07/2015,65
19/07/2015,22
26/07/2015,16
02/08/2015,45
09/08/2015,22
16/08/2015,25
23/08/2015,21
30/08/2015,26
06/09/2015,11
13/09/2015,27
20/09/2015,16
27/09/2015,26
04/10/2015,32
11/10/2015,11
18/10/2015,16
25/10/2015,54
01/11/2015,27
08/11/2015,32
15/11/2015,21
22/11/2015,16
29/11/2015,16
06/12/2015,27
13/12/2015,33
20/12/2015,18
27/12/2015,0
03/01/2016,46
10/01/2016,34
17/01/2016,62
24/01/2016,51
31/01/2016,23
07/02/2016,39
14/02/2016,44
21/02/2016,34
28/02/2016,39
06/03/2016,28
13/03/2016,35
20/03/2016,35
27/03/2016,68
03/04/2016,48
10/04/2016,43
17/04/2016,49
24/04/2016,17
01/05/2016,35
08/05/2016,29
15/05/2016,24
22/05/2016,13
29/05/2016,41
05/06/2016,24
12/06/2016,12
19/06/2016,42
26/06/2016,23
03/07/2016,48
10/07/2016,23
17/07/2016,18
24/07/2016,30
31/07/2016,12
07/08/2016,54
14/08/2016,19
21/08/2016,24
28/08/2016,12
04/09/2016,36
11/09/2016,79
18/09/2016,19
25/09/2016,26
02/10/2016,32
09/10/2016,25
16/10/2016,19
23/10/2016,26
30/10/2016,45
06/11/2016,25
13/11/2016,19
20/11/2016,25
27/11/2016,43
04/12/2016,18
11/12/2016,50
18/12/2016,33
25/12/2016,7
01/01/2017,18
08/01/2017,17
15/01/2017,23
22/01/2017,28
29/01/2017,17
05/02/2017,23
12/02/2017,17
19/02/2017,40
26/02/2017,39
05/03/2017,33
12/03/2017,29
19/03/2017,42
26/03/2017,49
02/04/2017,24
09/04/2017,18
16/04/2017,59
23/04/2017,11
30/04/2017,48
07/05/2017,23
14/05/2017,32
21/05/2017,87
28/05/2017,31
04/06/2017,54
11/06/2017,25
18/06/2017,12
25/06/2017,23
02/07/2017,17
09/07/2017,51
16/07/2017,51
23/07/2017,55
30/07/2017,27
06/08/2017,21
13/08/2017,17
20/08/2017,26
27/08/2017,46
03/09/2017,27
10/09/2017,37
17/09/2017,67
24/09/2017,12
01/10/2017,23
08/10/2017,41
15/10/2017,30
22/10/2017,23
29/10/2017,47
05/11/2017,33
12/11/2017,11
19/11/2017,51
26/11/2017,89
03/12/2017,17
10/12/2017,33
17/12/2017,18
24/12/2017,13
31/12/2017,53
07/01/2018,33
14/01/2018,58
21/01/2018,11
28/01/2018,64
04/02/2018,27
11/02/2018,26
18/02/2018,26
25/02/2018,81
04/03/2018,86
11/03/2018,26
18/03/2018,42
25/03/2018,34
01/04/2018,29
08/04/2018,28
15/04/2018,46
22/04/2018,35
29/04/2018,39
06/05/2018,22
13/05/2018,55
20/05/2018,27
27/05/2018,28
03/06/2018,46
10/06/2018,75
17/06/2018,31
24/06/2018,58
01/07/2018,28
08/07/2018,55
15/07/2018,34
22/07/2018,59
29/07/2018,55
05/08/2018,18
12/08/2018,36
19/08/2018,59
26/08/2018,14
02/09/2018,19
09/09/2018,30
16/09/2018,97
23/09/2018,27
30/09/2018,38
07/10/2018,11
14/10/2018,89
21/10/2018,32
28/10/2018,49
04/11/2018,21
11/11/2018,72
18/11/2018,27
25/11/2018,16
02/12/2018,22
09/12/2018,38
16/12/2018,22
23/12/2018,31
30/12/2018,68
