Tjedan,suicid: (Hrvatska)
05/01/2014,0
12/01/2014,45
19/01/2014,22
26/01/2014,0
02/02/2014,0
09/02/2014,0
16/02/2014,22
23/02/2014,23
02/03/2014,22
09/03/2014,24
16/03/2014,0
23/03/2014,45
30/03/2014,24
06/04/2014,0
13/04/2014,0
20/04/2014,0
27/04/2014,24
04/05/2014,0
11/05/2014,22
18/05/2014,0
25/05/2014,0
01/06/2014,0
08/06/2014,0
15/06/2014,0
22/06/2014,0
29/06/2014,52
06/07/2014,49
13/07/2014,0
20/07/2014,0
27/07/2014,51
03/08/2014,0
10/08/2014,27
17/08/2014,0
24/08/2014,0
31/08/2014,0
07/09/2014,0
14/09/2014,0
21/09/2014,0
28/09/2014,26
05/10/2014,0
12/10/2014,0
19/10/2014,0
26/10/2014,26
02/11/2014,49
09/11/2014,0
16/11/2014,51
23/11/2014,25
30/11/2014,0
07/12/2014,0
14/12/2014,0
21/12/2014,0
28/12/2014,27
04/01/2015,0
11/01/2015,23
18/01/2015,0
25/01/2015,0
01/02/2015,0
08/02/2015,23
15/02/2015,24
22/02/2015,23
01/03/2015,0
08/03/2015,24
15/03/2015,0
22/03/2015,0
29/03/2015,49
05/04/2015,50
12/04/2015,24
19/04/2015,0
26/04/2015,25
03/05/2015,100
10/05/2015,0
17/05/2015,0
24/05/2015,24
31/05/2015,0
07/06/2015,0
14/06/2015,0
21/06/2015,0
28/06/2015,0
05/07/2015,23
12/07/2015,46
19/07/2015,0
26/07/2015,23
02/08/2015,0
09/08/2015,23
16/08/2015,21
23/08/2015,22
30/08/2015,0
06/09/2015,48
13/09/2015,0
20/09/2015,0
27/09/2015,0
04/10/2015,0
11/10/2015,0
18/10/2015,0
25/10/2015,0
01/11/2015,23
08/11/2015,23
15/11/2015,22
22/11/2015,0
29/11/2015,68
06/12/2015,23
13/12/2015,0
20/12/2015,25
27/12/2015,26
03/01/2016,25
10/01/2016,0
17/01/2016,24
24/01/2016,48
31/01/2016,0
07/02/2016,0
14/02/2016,47
21/02/2016,0
28/02/2016,24
06/03/2016,0
13/03/2016,0
20/03/2016,25
27/03/2016,26
03/04/2016,0
10/04/2016,78
17/04/2016,26
24/04/2016,49
01/05/2016,25
08/05/2016,25
15/05/2016,0
22/05/2016,0
29/05/2016,25
05/06/2016,25
12/06/2016,25
19/06/2016,0
26/06/2016,0
03/07/2016,76
10/07/2016,0
17/07/2016,77
24/07/2016,51
31/07/2016,26
07/08/2016,77
14/08/2016,26
21/08/2016,51
28/08/2016,26
04/09/2016,26
11/09/2016,51
18/09/2016,27
25/09/2016,0
02/10/2016,27
09/10/2016,0
16/10/2016,0
23/10/2016,0
30/10/2016,0
06/11/2016,52
13/11/2016,0
20/11/2016,0
27/11/2016,26
04/12/2016,52
11/12/2016,79
18/12/2016,0
25/12/2016,28
01/01/2017,78
08/01/2017,49
15/01/2017,0
22/01/2017,0
29/01/2017,71
05/02/2017,0
12/02/2017,24
19/02/2017,0
26/02/2017,24
05/03/2017,0
12/03/2017,25
19/03/2017,25
26/03/2017,26
02/04/2017,0
09/04/2017,0
16/04/2017,0
23/04/2017,0
30/04/2017,26
07/05/2017,0
14/05/2017,27
21/05/2017,0
28/05/2017,0
04/06/2017,0
11/06/2017,0
18/06/2017,51
25/06/2017,25
02/07/2017,0
09/07/2017,48
16/07/2017,0
23/07/2017,0
30/07/2017,0
06/08/2017,0
13/08/2017,24
20/08/2017,0
27/08/2017,22
03/09/2017,0
10/09/2017,0
17/09/2017,0
24/09/2017,24
01/10/2017,24
08/10/2017,0
15/10/2017,0
22/10/2017,0
29/10/2017,25
05/11/2017,24
12/11/2017,0
19/11/2017,0
26/11/2017,23
03/12/2017,0
10/12/2017,23
17/12/2017,51
24/12/2017,0
31/12/2017,25
07/01/2018,0
14/01/2018,23
21/01/2018,23
28/01/2018,0
04/02/2018,23
11/02/2018,0
18/02/2018,22
25/02/2018,43
04/03/2018,68
11/03/2018,45
18/03/2018,0
25/03/2018,48
01/04/2018,0
08/04/2018,48
15/04/2018,49
22/04/2018,0
29/04/2018,48
06/05/2018,23
13/05/2018,23
20/05/2018,23
27/05/2018,24
03/06/2018,0
10/06/2018,0
17/06/2018,22
24/06/2018,0
01/07/2018,0
08/07/2018,0
15/07/2018,0
22/07/2018,0
29/07/2018,0
05/08/2018,0
12/08/2018,0
19/08/2018,0
26/08/2018,20
02/09/2018,0
09/09/2018,0
16/09/2018,22
23/09/2018,23
30/09/2018,0
07/10/2018,0
14/10/2018,23
21/10/2018,0
28/10/2018,0
04/11/2018,0
11/11/2018,23
18/11/2018,0
25/11/2018,45
02/12/2018,23
09/12/2018,23
16/12/2018,23
23/12/2018,0
30/12/2018,48
